portName,log,lat,asOcount,asDcount,total
"Wethersfield, Connecticut",-72.66338399999998,41.7117,1,0,1
Wexford,-6.45894,52.337371999999995,1,0,1
"Whitehaven, Cumbria",-3.5857300000000003,54.546902,3,2,5
"Williamsburg, VA",-76.709717,37.2756,1,2,3
"Wilmington, Delaware",-75.550842,39.740231,1,1,2
"Wiscasset, Maine",-69.666168,44.002941,1,0,1
Wismar,11.46622,53.891079000000005,13,0,13
Wolgast,13.76549,54.050621,5,0,5
"Workington, Cumbria",-3.55,54.638968999999996,2,0,2
Wycombe,-0.74739,51.629397999999995,1,0,1
Wyk auf Fohr,8.5609,54.702709,1,0,1
Xabia,0.16608129999997304,38.7890109,1,0,1
"York River, VA",-76.62511444099998,37.344543457,1,0,1
"York, VA",-76.512123,37.235271999999995,1,1,2
"Youghal, Co. Cork",-7.85177,51.956879,2,3,5
Ystad,13.828270000000002,55.43121,1,0,1
Zierikzee,3.9170599999999998,51.650040000000004,2,6,8
Aarhus,10.20452,56.153,0,1,1
Abbeville,1.8348200000000001,50.105011,0,1,1
Angola,14.47376,-14.14836,0,2,2
"Anstruther, Fife",-2.70098,56.22288100000001,0,1,1
Antwerp,4.39768,51.222091999999996,0,2,2
Aprilia,12.64754,41.591019,0,1,1
Ardon,5.88858,46.773972,0,2,2
Auger,-0.1298553,44.48621179999999,0,1,1
Aveiro,-8.6544,40.641201,0,3,3
Bahia,-38.51265,-12.9706,0,1,1
"Bainet, Haiti",-72.75552490000001,18.1855215,0,1,1
Baltic,17.004279999999998,57.196276,0,1,1
Berbice,-57.655529,6.29898,0,1,1
Bideford,-4.2042589999999995,51.01925,0,2,2
"Blankenese, Hamburg",9.77753,53.560249,0,1,1
Blokzijl,5.96059,52.726799,0,1,1
Bo'ness,-3.60505,56.012271999999996,0,1,1
"Boston, Lincolnshire",-0.02912,52.97469,0,2,2
Bourgneuf-en-Retz,-1.95432,47.042278,0,3,3
Brazil,-47.928631,-15.77839,0,3,3
"Bridgewater, NJ",-74.62509900000002,40.59288,0,1,1
Camaret-sur-Mer,-4.5976400375,48.275661469,0,1,1
Canada,-96.811451,62.395818999999996,0,1,1
Cap Salou,1.16585,41.061871000000004,0,1,1
